lyh	sci	fi	sv	en
CYGOLO	Cygnus olor	kyhmyjoutsen	knölsvan	Mute Swan
CYGCOL	Cygnus columbianus	pikkujoutsen	mindre sångsvan	Tundra Swan
CYGCYG	Cygnus cygnus	laulujoutsen	sångsvan	Whooper Swan
ANSFAB	Anser fabalis	metsähanhi	sädgås	Bean Goose
ANSBRA	Anser brachyrhynchus	lyhytnokkahanhi	spetsbergsgås	Pink-footed Goose
ANSALB	Anser albifrons	tundrahanhi	bläsgås	Greater White-fronted Goose
ANSERY	Anser erythropus	kiljuhanhi	fjällgås	Lesser White-fronted Goose
ANSANS	Anser anser	merihanhi	grågås	Greylag Goose
ANSIND	Anser indicus	tiibetinhanhi	stripgås	Bar-headed Goose
BRACAN	Branta canadensis	kanadanhanhi	kanadagås	Canada Goose
BRAHUT	Branta hutchinsii	pikkukanadanhanhi	dvärgkanadagås	Cackling Goose
BRALEU	Branta leucopsis	valkoposkihanhi	vitkindad gås	Barnacle Goose
BRABER	Branta bernicla	sepelhanhi	prutgås	Brant Goose
BRARUF	Branta ruficollis	punakaulahanhi	rödhalsad gås	Red-breasted Goose
TADFER	Tadorna ferruginea	ruostesorsa	rostand	Ruddy Shelduck
TADTAD	Tadorna tadorna	ristisorsa	gravand	Common Shelduck
AIXGAL	Aix galericulata	mandariinisorsa	mandarinand	Mandarin Duck
ANAPEN	Anas penelope	haapana	bläsand	Eurasian Wigeon
ANAAME	Anas americana	amerikanhaapana	amerikansk bläsand	American Wigeon
ANASTR	Anas strepera	harmaasorsa	snatterand	Gadwall
ANAFOR	Anas formosa	siperiantavi	gulkindad kricka	Baikal Teal
ANACRE	Anas crecca	tavi	kricka	Eurasian Teal
ANACAR	Anas carolinensis	amerikantavi	amerikansk kricka	Green-winged Teal
ANAPLA	Anas platyrhynchos	sinisorsa	gräsand	Mallard
ANARUB	Anas rubripes	nokisorsa	svartand	American Black Duck
ANAACU	Anas acuta	jouhisorsa	stjärtand	Northern Pintail
ANAQUE	Anas querquedula	heinätavi	årta	Garganey
ANADIS	Anas discors	sinisiipitavi	blåvingad årta	Blue-winged Teal
ANACLY	Anas clypeata	lapasorsa	skedand	Northern Shoveler
NETRUF	Netta rufina	punapäänarsku	rödhuvad dykand	Red-crested Pochard
AYTFER	Aythya ferina	punasotka	brunand	Common Pochard
AYTCOL	Aythya collaris	amerikantukkasotka	ringand	Ring-necked Duck
AYTNYR	Aythya nyroca	ruskosotka	vitögd dykand	Ferruginous Duck
AYTFUL	Aythya fuligula	tukkasotka	vigg	Tufted Duck
AYTMAR	Aythya marila	lapasotka	bergand	Greater Scaup
AYTAFF	Aythya affinis	pikkulapasotka	mindre bergand	Lesser Scaup
SOMMOL	Somateria mollissima	haahka	ejder	Common Eider
SOMSPE	Somateria spectabilis	kyhmyhaahka	praktejder	King Eider
POLSTE	Polysticta stelleri	allihaahka	alförrädare	Steller's Eider
HISHIS	Histrionicus histrionicus	virta-alli	strömand	Harlequin Duck
CLAHYE	Clangula hyemalis	alli	alfågel	Long-tailed Duck
MELNIG	Melanitta nigra	mustalintu	sjöorre	Common Scoter
MELAME	Melanitta americana	amerikanmustalintu	amerikansk sjöorre	Black Scoter
MELPER	Melanitta perspicillata	pilkkaniska	vitnackad svärta	Surf Scoter
MELFUS	Melanitta fusca	pilkkasiipi	svärta	Velvet Scoter
MELDEG	Melanitta deglandi	kyhmypilkkasiipi	knölsvärta	White-winged Scoter
BUCCLA	Bucephala clangula	telkkä	knipa	Common Goldeneye
MERALB	Mergellus albellus	uivelo	salskrake	Smew
MERSER	Mergus serrator	tukkakoskelo	småskrake	Red-breasted Merganser
MERMER	Mergus merganser	isokoskelo	storskrake	Common Merganser
OXYJAM	Oxyura jamaicensis	kuparisorsa	amerikansk kopparand	Ruddy Duck
COTCOT	Coturnix coturnix	viiriäinen	vaktel	Common Quail
TETBON	Tetrastes bonasia	pyy	järpe	Hazel Grouse
LAGLAG	Lagopus lagopus	riekko	dalripa	Willow Ptarmigan
LAGMUT	Lagopus muta	kiiruna	fjällripa	Rock Ptarmigan
TETRIX	Tetrao tetrix	teeri	orre	Black Grouse
TETURO	Tetrao urogallus	metso	tjäder	Western Capercaillie
PERPER	Perdix perdix	peltopyy	rapphöna	Grey Partridge
PHACOL	Phasianus colchicus	fasaani	fasan	Common Pheasant
GAVSTE	Gavia stellata	kaakkuri	smålom	Red-throated Loon
GAVARC	Gavia arctica	kuikka	storlom	Black-throated Loon
GAVPAC	Gavia pacifica	tundrakuikka	stillahavslom	Pacific Loon
GAVIMM	Gavia immer	amerikanjääkuikka	svartnäbbad islom	Great Northern Loon
GAVADA	Gavia adamsii	jääkuikka	vitnäbbad islom	Yellow-billed Loon
TACRUF	Tachybaptus ruficollis	pikku-uikku	smådopping	Little Grebe
PODCRI	Podiceps cristatus	silkkiuikku	skäggdopping	Great Crested Grebe
PODGRI	Podiceps grisegena	härkälintu	gråhakedopping	Red-necked Grebe
PODAUR	Podiceps auritus	mustakurkku-uikku	svarthakedopping	Horned Grebe
PODNIG	Podiceps nigricollis	mustakaulauikku	svarthalsad dopping	Black-necked Grebe
FULGLA	Fulmarus glacialis	myrskylintu	stormfågel	Northern Fulmar
PUFGRI	Puffinus griseus	nokiliitäjä	grålira	Sooty Shearwater
PUFPUF	Puffinus puffinus	pikkuliitäjä	mindre lira	Manx Shearwater
HYDPEL	Hydrobates pelagicus	merikeiju	stormsvala	European Storm Petrel
OCELEU	Oceanodroma leucorhoa	myrskykeiju	klykstjärtad stormsvala	Leach's Storm Petrel
OCECAS	Oceanodroma castro	madeirankeiju	oceanlöpare	Band-rumped Storm Petrel
MORBAS	Morus bassanus	suula	havssula	Northern Gannet
PHACAR	Phalacrocorax carbo	merimetso	storskarv	Great Cormorant
PHAARI	Phalacrocorax aristotelis	karimetso	toppskarv	European Shag
PELONO	Pelecanus onocrotalus	pelikaani	vit pelikan	Great White Pelican
BOTSTE	Botaurus stellaris	kaulushaikara	rördrom	Eurasian Bittern
IXOMIN	Ixobrychus minutus	pikkuhaikara	dvärgrördrom	Little Bittern
NYCNYC	Nycticorax nycticorax	yöhaikara	natthäger	Black-crowned Night Heron
ARDRAL	Ardeola ralloides	rääkkähaikara	rallhäger	Squacco Heron
BUBIBI	Bubulcus ibis	lehmähaikara	kohäger	Cattle Egret
EGRGAR	Egretta garzetta	silkkihaikara	silkeshäger	Little Egret
EGRALB	Egretta alba	jalohaikara	ägretthäger	Great Egret
ARDCIN	Ardea cinerea	harmaahaikara	grå häger	Grey Heron
ARDPUR	Ardea purpurea	ruskohaikara	purpurhäger	Purple Heron
CICNIG	Ciconia nigra	mustahaikara	svart stork	Black Stork
CICCIC	Ciconia ciconia	kattohaikara	vit stork	White Stork
PLEFAL	Plegadis falcinellus	pronssi-iibis	bronsibis	Glossy Ibis
PLALEU	Platalea leucorodia	kapustahaikara	skedstork	Eurasian Spoonbill
PERAPI	Pernis apivorus	mehiläishaukka	bivråk	European Honey Buzzard
MILMIG	Milvus migrans	haarahaukka	brun glada	Black Kite
MILMIL	Milvus milvus	isohaarahaukka	röd glada	Red Kite
HALLEU	Haliaeetus leucoryphus	aromerikotka	bandhavsörn	Pallas's Fish Eagle
HALALB	Haliaeetus albicilla	merikotka	havsörn	White-tailed Eagle
NEOPER	Neophron percnopterus	pikkukorppikotka	smutsgam	Egyptian Vulture
GYPFUL	Gyps fulvus	hanhikorppikotka	gåsgam	Griffon Vulture
AEGMON	Aegypius monachus	munkkikorppikotka	grågam	Cinereous Vulture
CIRGAL	Circaetus gallicus	käärmekotka	ormörn	Short-toed Snake Eagle
CIRAER	Circus aeruginosus	ruskosuohaukka	brun kärrhök	Western Marsh Harrier
CIRCYA	Circus cyaneus	sinisuohaukka	blå kärrhök	Northern Harrier
CIRMAC	Circus macrourus	arosuohaukka	stäpphök	Pallid Harrier
CIRPYG	Circus pygargus	niittysuohaukka	ängshök	Montagu's Harrier
ACCGEN	Accipiter gentilis	kanahaukka	duvhök	Northern Goshawk
ACCNIS	Accipiter nisus	varpushaukka	sparvhök	Eurasian Sparrowhawk
BUTBUT	Buteo buteo	hiirihaukka	ormvråk	Common Buzzard
BUTRUF	Buteo rufinus	arohiirihaukka	örnvråk	Long-legged Buzzard
BUTLAG	Buteo lagopus	piekana	fjällvråk	Rough-legged Buzzard
AQUCLA	Aquila clanga	kiljukotka	större skrikörn	Greater Spotted Eagle
AQUPOM	Aquila pomarina	pikkukiljukotka	mindre skrikörn	Lesser Spotted Eagle
AQUPEN	Aquila pennata	pikkukotka	dvärgörn	Booted Eagle
